bed_number,unit,side_room,window,main_door,l_corner
21,THREE,FALSE,FALSE,TRUE,TRUE
22,THREE,FALSE,TRUE,FALSE,TRUE
23,THREE,TRUE,FALSE,FALSE,FALSE
24,THREE,TRUE,FALSE,FALSE,FALSE
25,THREE,FALSE,FALSE,TRUE,TRUE
26,THREE,FALSE,FALSE,TRUE,FALSE
27,THREE,FALSE,FALSE,FALSE,FALSE
28,THREE,FALSE,TRUE,FALSE,FALSE
29,THREE,FALSE,TRUE,FALSE,FALSE
30,THREE,FALSE,TRUE,TRUE,FALSE
31,FOUR,TRUE,TRUE,FALSE,FALSE
32,FOUR,FALSE,FALSE,FALSE,FALSE
33,FOUR,FALSE,TRUE,TRUE,FALSE
34,FOUR,FALSE,TRUE,FALSE,FALSE
35,FOUR,FALSE,TRUE,FALSE,FALSE
36,FOUR,FALSE,TRUE,FALSE,FALSE
37,FOUR,FALSE,TRUE,TRUE,FALSE
38,FOUR,FALSE,FALSE,FALSE,TRUE
39,FOUR,FALSE,TRUE,FALSE,TRUE
40,FOUR,TRUE,TRUE,FALSE,FALSE
